,Max,Min,25%,75%
50,0.884321608040201,0.7944723618090452,0.8316582914572864,0.8704522613065326
100,0.9017270982729018,0.859004140995859,0.8946571053428947,0.8963741036258964
150,0.8997157937474625,0.8789078359723914,0.8926106374340236,0.8957572066585465
200,0.9031929001326124,0.8962562480873202,0.901050698765684,0.902478833010303
250,0.9080377281115439,0.9014763174082427,0.9036292802952635,0.9047570227598933
300,0.910252447192169,0.9021123132405976,0.904688304997424,0.9071612570839773
350,0.9139395194697597,0.8991300745650372,0.8994407622203812,0.9084507042253521
400,0.9123555740605809,0.9022587696471323,0.9085042156760695,0.9112105756219423
450,0.9142079933040385,0.9044779242519355,0.9075120318058171,0.9115923833437958
500,0.9148175412766852,0.9061941318750657,0.9113471448101799,0.9132400883373646
550,0.9160676532769556,0.9097251585623679,0.913107822410148,0.9152219873150106
600,0.9165869726915312,0.913292955052598,0.913292955052598,0.9147805759217936
650,0.9172185430463576,0.9105960264900662,0.9143345439008759,0.9162572099978638
700,0.9179641361537636,0.9137764415333405,0.9164608611618168,0.9175346290132074
750,0.9202288428324698,0.9145077720207254,0.9168825561312608,0.9197970639032815
800,0.9209983722192078,0.9158979924036896,0.9181768855127509,0.9198046663049376
850,0.9211215361117172,0.9164302858389701,0.9173030765873882,0.9197032511455379
900,0.9223428759460349,0.9180651530108588,0.9192716902489854,0.9219041351321706
950,0.9234671371857079,0.9192765769739745,0.9203793559770622,0.9229157476841641
