,Sample Accuracy,Full Accuracy
50,0.8266666666666668,0.8464120603015075
150,0.7866666666666667,0.6656852791878173
250,0.8106666666666665,0.5859897435897435
350,0.8514285714285716,0.5300725388601035
450,0.8355555555555556,0.5478115183246073
550,0.863030303030303,0.5624550264550264
650,0.8964102564102564,0.5586524064171122
750,0.8826666666666666,0.572691891891892
850,0.8870588235294118,0.5765027322404371
950,0.8989473684210527,0.5898342541436463
