,Size,average,third_qnt,first_qnt
0,50,0.15645276959516793,0.17274148064126263,0.14792412506392913
1,100,0.1036968888304757,0.11207810352660166,0.09304079749254994
2,150,0.11086609313794119,0.11626671085752163,0.10439232336277168
3,200,0.1025483075569219,0.10745234959156792,0.09826655657048489
4,250,0.0959859655939908,0.09668368586016451,0.09579796398254842
5,300,0.09304708326071366,0.09506652914167836,0.09148078412100676
6,350,0.09278422386477597,0.09510938665188559,0.09026934516581571
7,400,0.08842761509384364,0.09096649399851998,0.08693503087169319
8,450,0.08702131732557707,0.0882207561779101,0.08596359397366263
9,500,0.0873464629696826,0.08764932270848036,0.0849407280633834
10,550,0.08423557916210711,0.0848235842021503,0.0835321445612391
11,600,0.08260985094157951,0.08281213838975762,0.08241499212850396
12,650,0.0818372728909105,0.08255499332851425,0.0803521173038626
13,700,0.08018411586385027,0.08158355643048369,0.07899781998131412
14,750,0.0789572482049846,0.07998068554873328,0.07781495269959457
15,800,0.07732580564976271,0.0777520950179573,0.07691208781789559
16,850,0.07605150901293439,0.0763206541770358,0.07576064937699466
17,900,0.07512978682674423,0.07513778689531625,0.07477206947488121
18,950,0.07291719643311229,0.07329491395640535,0.07232061989102764
