,Size,average,third_qnt,first_qnt
0,50,0.15630648262699393,0.17274148064126263,0.14792412506392913
1,100,0.10394374808926934,0.10290088200756006,0.09985228444815242
2,150,0.10609633796861115,0.11948959562510536,0.0966236853458744
3,200,0.09502081446412398,0.09788655331331411,0.09087506464341123
4,250,0.0927556521913045,0.09556653342742938,0.0904922042188933
5,300,0.08990477061231952,0.09231507698637417,0.08971791186781601
6,350,0.09103163741403497,0.09171507184347294,0.09029791683928719
7,400,0.08921676471512614,0.09074934928013668,0.08790646776972375
8,450,0.08738417757866497,0.0900693434515153,0.08740646348397273
9,500,0.08546701828872819,0.0873636059737655,0.08303785461018237
10,550,0.08294299665425704,0.08357785923879348,0.0815549847570122
11,600,0.08104183750146429,0.08230641976931231,0.08084926442226648
12,650,0.08036868887447607,0.08121212467535437,0.07943782375277503
13,700,0.07917096432255133,0.08009211507527207,0.07970925465075415
14,750,0.0785823878490387,0.08146926973659774,0.07650637005460047
15,800,0.07678408672074331,0.07810066943430943,0.07493778518101583
16,850,0.07530864550267573,0.076554941899502,0.07421206467484007
17,900,0.0747314976985517,0.07718637588322186,0.07109489509910084
18,950,0.07505492904224893,0.0756920773606631,0.07348062983397001
