,Size,average,third_qnt,first_qnt
0,50,0.15696020251602155,0.17274148064126263,0.14792412506392913
1,100,0.12033703146026967,0.12359534510295803,0.11196381683271571
2,150,0.12104332322848481,0.12812109818084155,0.10466661142809795
3,200,0.12161761386526171,0.13582973568344872,0.11389811912673538
4,250,0.11830044257522206,0.1166752857881639,0.11304096892259076
5,300,0.11050094715097558,0.11728671960045371,0.10296373968919734
6,350,0.10976608370928895,0.10923522201618871,0.10001228581959273
7,400,0.10077400663434258,0.09676082937853753,0.09653511315811278
8,450,0.09896941973788347,0.10012942968082583,0.09372937482321277
9,500,0.10114429552253305,0.10052371877473236,0.09295508247213548
10,550,0.09736883459001078,0.09867513150112715,0.09505224330494261
11,600,0.09123678202956026,0.09552653308456929,0.086566456283911
12,650,0.0917642151218439,0.09661511384383295,0.08959791083923577
13,700,0.08840932922282192,0.08994934242293505,0.08745503532887425
14,750,0.08881333268570872,0.09145221244753526,0.08630931122266762
15,800,0.08887276176652943,0.08728360528804532,0.08534358865933137
16,850,0.08582987854181608,0.08645216959002505,0.08322357048774703
17,900,0.08712474678354384,0.08763503687174462,0.0840721491898502
18,950,0.08949562424820785,0.09563510544376094,0.0841778643816947
