,Size,average,third_qnt,first_qnt
0,50,0.016164945800185793,0.01858584836159305,0.01736884461835997
1,100,0.014779710939219304,0.019600261131985097,0.01230656662267049
2,150,0.008513269458290628,0.011331709316026783,0.005462462478435404
3,200,0.003778531420786502,0.005040685950014945,0.002822808150176881
4,250,0.0015437462793211453,0.0017598023418774478,0.0002544621078741649
5,300,0.002962069891753072,0.0026338155762439808,0.0005750164199579411
6,350,0.0011388139887990479,0.0012436977442629171,0.0004881906585982865
7,400,0.002022953057033283,0.0020312769605638215,0.0008675576589310952
8,450,0.0010156765496919906,0.0013587083724201365,0.00016033544801108413
9,500,0.0015843601204828194,0.0020001637168556297,0.001620719670898163
10,550,0.0013355641551099362,0.0020306100464208,0.0006707882042455982
11,600,0.0013936007989416854,0.001972599651507423,0.0011299389578214303
12,650,0.0010568737191566813,0.0007570552327313962,0.00019810466259639892
13,700,0.002214942780977536,0.003519335581267713,0.000952385357006369
14,750,0.0026141310625360957,0.002770957709488542,0.0019224503882471211
15,800,0.0034786207356908073,0.004243978674528304,0.002939592285198911
16,850,0.002989996791903504,0.0035705215813570668,0.0030419186178463065
17,900,0.0031910896296626135,0.0038598644678031757,0.003693618648056063
18,950,0.003160540278563051,0.003731194562307971,0.00362839030428308
