,Size,average,third_qnt,first_qnt
0,50,0.016164945800185793,0.01858584836159305,0.01736884461835997
1,100,0.007676103143051782,0.008575150265546672,0.007291903589791815
2,150,0.01076359327411085,0.015547124543606738,0.007343339273633731
3,200,0.008923987287654422,0.011245625534957782,0.006545709033105029
4,250,0.009184770350479664,0.009904285712160288,0.008670522378558143
5,300,0.008167737577984013,0.010204809867727427,0.006989171433655628
6,350,0.00864974141122996,0.010353464280108415,0.006569844849586337
7,400,0.006704419259033622,0.007663214512314109,0.006096638727079773
8,450,0.006863745925216103,0.008502815734237501,0.0052412783298994015
9,500,0.006554172412092196,0.008289754808851857,0.005611146415386736
10,550,0.0056995062927524655,0.006963029673117127,0.005300828746334529
11,600,0.0042435737679691775,0.005239857326605257,0.00424735532193754
12,650,0.003897338511820925,0.005909594845215027,0.001374161249001471
13,700,0.0037402383743170954,0.00449843889499979,0.0020823270743184352
14,750,0.004162716269432587,0.0058156925161123585,0.0037258649526190624
15,800,0.003600718050536189,0.005463207142687887,0.0018069782796326095
16,850,0.003535291709715205,0.0034934410959250872,0.003189820091298534
17,900,0.003905724928515664,0.005032772142101072,0.0036307510581961022
18,950,0.0039929956644463305,0.005844145915931076,0.003033497295147347
