,Size,average,third_qnt,first_qnt
0,50,0.016164945800185793,0.01858584836159305,0.01736884461835997
1,100,0.0060268003899841775,0.006688309403469206,0.0055367312439087435
2,150,0.00811732569864394,0.00935539399038876,0.00754668734800612
3,200,0.00664029142128264,0.007293738061497912,0.005392333588828846
4,250,0.007031496564838724,0.007640845189216261,0.006602140534117673
5,300,0.006476179602680032,0.007217511200662052,0.00558446673436741
6,350,0.006475010351112154,0.008515688069838045,0.0060483801698068
7,400,0.007105326814417667,0.007771335575271099,0.006122735521648659
8,450,0.006940216843382396,0.008017176317466568,0.005999041937111205
9,500,0.006485215542344935,0.007625751556687543,0.005645750851596798
10,550,0.006737015458469386,0.007695104413412812,0.005871449143968643
11,600,0.006239075874394429,0.006739895398376605,0.005878292120760742
12,650,0.0061703538380970535,0.006792632238366236,0.005750052598925803
13,700,0.006261238964285143,0.007114127426027128,0.005186200475602032
14,750,0.006447250363031109,0.006979936786572383,0.005830731969733272
15,800,0.006348821180077913,0.0070134810938378145,0.0063741474832137435
16,850,0.006035170032972603,0.006364720658059486,0.005811424644982743
17,900,0.006065142041735116,0.006337390645239527,0.0059888766937288285
18,950,0.006313173810032912,0.006449500613058712,0.006148901459245737
