,Size,average,third_qnt,first_qnt
0,50,0.016164945800185793,0.01858584836159305,0.01736884461835997
1,100,0.006612131422202361,0.008661733765159108,0.004520060784078517
2,150,0.010170397974322176,0.012616349992168097,0.01017768088656723
3,200,0.008539508681074759,0.011780993469653112,0.007900159126251971
4,250,0.008780082901095821,0.011003820174757983,0.009749960005122515
5,300,0.009103686752939488,0.010388806040686038,0.00874601538099573
6,350,0.009711440518635817,0.01048520522838614,0.009243065842111209
7,400,0.008669462190582955,0.009976001759492314,0.008225697525471753
8,450,0.008979191859170666,0.01019961629760413,0.00877456667234533
9,500,0.009359760625210578,0.009793726354074606,0.008905691684170103
10,550,0.00897630745096869,0.009536440101288957,0.008913530277526505
11,600,0.008909003993047237,0.009412588073395955,0.009149222087716291
12,650,0.008841346885750312,0.00941572664752921,0.009106261658017756
13,700,0.008758910403202291,0.009097260888603076,0.008851779094171564
14,750,0.008728020619550891,0.009235085716039038,0.008615817453760721
15,800,0.008583511628962226,0.00921223733506582,0.008645587642016395
16,850,0.008607340529851504,0.009101283939935811,0.00884141981270603
17,900,0.008498158468816098,0.009040873358515222,0.008708676274316485
18,950,0.008413695329367466,0.008993354541648735,0.008521681650385027
